App ,LOC,Category,TP,FP,Number of Possible Flows,Time (ms)
ActivityCommunication1,28,InterComponentCommunication,1,0,1,5286
ActivityCommunication2,50,InterComponentCommunication,0,0,1,5506
ActivityCommunication3,52,InterComponentCommunication,0,0,1,5795
ActivityCommunication4,50,InterComponentCommunication,0,0,1,5793
ActivityCommunication5,54,InterComponentCommunication,0,0,1,5715
ActivityCommunication6,55,InterComponentCommunication,0,0,1,5558
ActivityCommunication7,52,InterComponentCommunication,0,0,1,5846
ActivityCommunication8,55,InterComponentCommunication,0,0,1,4482
ActivityLifecycle1,34,Lifecycle,1,0,1,5156
ActivityLifecycle2,25,Lifecycle,1,0,1,4672
ActivityLifecycle3,24,Lifecycle,1,0,1,4991
ActivityLifecycle4,26,Lifecycle,1,0,1,4936
ActivitySavedState1,26,Lifecycle,0,0,1,3703
AnonymousClass1,43,Callbacks,2,0,2,4716
ApplicationLifecycle1,30,Lifecycle,1,0,1,5410
ApplicationLifecycle2,30,Lifecycle,1,0,1,4883
ApplicationLifecycle3,65,Lifecycle,1,0,1,4956
ApplicationModeling1,33,AndroidSpecific,0,0,1,3405
ArrayAccess1,20,ArraysAndLists,0,1,0,5239
ArrayAccess2,27,ArraysAndLists,0,1,0,4594
ArrayCopy1,19,ArraysAndLists,1,0,1,3790
AsyncTask1,31,Threading,1,0,1,5453
BroadcastReceiverLifecycle1,17,Lifecycle,1,0,1,4674
BroadcastReceiverLifecycle2,40,Lifecycle,0,0,1,5328
BroadcastTaintAndLeak1,31,InterComponentCommunication,0,0,1,3856
Button1,23,Callbacks,1,0,1,5036
Button2,41,Callbacks,3,1,3,5144
Button3,58,Callbacks,1,0,2,6282
Button4,23,Callbacks,1,0,1,4967
Clone1,19,GeneralJava,1,0,1,3931
ComponentNotInManifest1,64,InterComponentCommunication,0,0,0,5584
ContentProvider1,95,EmulatorDetection,2,0,2,6519
DirectLeak1,15,AndroidSpecific,1,0,1,5124
EventOrdering1,55,InterComponentCommunication,0,0,1,5284
Exceptions3,25,GeneralJava,0,1,0,4971
Executor1,33,Threading,1,0,1,5814
FactoryMethods1,22,GeneralJava,2,0,2,4773
FieldSensitivity1,44,FieldAndObjectSensitivity,0,0,0,5111
FieldSensitivity2,36,FieldAndObjectSensitivity,0,0,0,4841
FieldSensitivity3,36,FieldAndObjectSensitivity,1,0,1,5018
FieldSensitivity4,22,FieldAndObjectSensitivity,0,0,0,4902
FragmentLifecycle1,44,Lifecycle,0,0,1,5014
FragmentLifecycle2,137,Lifecycle,0,0,1,4525
HashMapAccess1,20,ArraysAndLists,0,1,0,5197
IMEI1,32,EmulatorDetection,0,0,2,5691
ImplicitFlow1,53,ImplicitFlows,0,0,1,5324
InactiveActivity,16,AndroidSpecific,0,0,0,2440
InheritedObjects1,45,FieldAndObjectSensitivity,1,0,1,4798
JavaThread1,32,Threading,1,0,1,5682
JavaThread2,28,Threading,1,0,1,5893
Library2,21,AndroidSpecific,1,0,1,5299
EventOrdering1,23,Lifecycle,1,0,1,3857
ListAccess1,22,ArraysAndLists,0,1,0,5025
LocationLeak1,42,Callbacks,2,0,2,5696
LocationLeak2,39,Callbacks,2,0,2,5008
LocationLeak3,56,Callbacks,2,0,2,4924
LogNoLeak,16,AndroidSpecific,0,0,0,4811
Loop1,20,GeneralJava,1,0,1,5009
Loop2,22,GeneralJava,1,0,1,5016
Looper1,80,Threading,1,0,1,5989
Merge1,75,Aliasing,0,1,0,6000
MethodOverride1,20,Callbacks,1,0,1,5033
MultidimensionalArray1,18,ArraysAndLists,1,0,1,3926
MultiHandlers1,109,Callbacks,0,0,0,5380
Obfuscation1,29,AndroidSpecific,1,0,1,4994
ObjectSensitivity1,21,FieldAndObjectSensitivity,0,0,0,4744
ObjectSensitivity2,28,FieldAndObjectSensitivity,0,0,0,4947
Ordering1,50,Callbacks,0,0,0,5126
PlayStore1,70,EmulatorDetection,2,0,2,6539
PrivateDataLeak3,46,AndroidSpecific,1,0,2,5401
PublicAPIField1,19,AndroidSpecific,1,0,1,3756
PublicAPIField2,18,AndroidSpecific,0,0,1,3675
Reflection1,42,Reflection,1,0,1,5005
Reflection10,58,Reflection,0,0,1,5270
Reflection11,78,Reflection,0,0,1,5298
Reflection12,58,Reflection,0,0,1,5480
Reflection13,66,Reflection,0,0,1,5507
Reflection2,44,Reflection,0,0,1,5688
Reflection3,56,Reflection,0,0,1,5038
Reflection4,49,Reflection,0,0,1,4572
Reflection5,48,Reflection,0,0,1,5101
Reflection6,58,Reflection,0,0,1,5251
Reflection7,62,Reflection,0,0,1,5402
Reflection8,44,Reflection,0,0,1,5286
Reflection9,56,Reflection,0,0,1,5367
RegisterGlobal1,99,Callbacks,1,0,1,5573
RegisterGlobal2,51,Callbacks,1,0,1,5138
SendSMS,73,InterAppCommunication,1,0,2,5422
Serialization1,43,GeneralJava,0,0,1,4295
ServiceCommunication1,88,InterComponentCommunication,0,0,1,3753
ServiceLifecycle1,25,Lifecycle,1,0,1,5341
ServiceLifecycle2,34,Lifecycle,1,0,1,3996
SharedPreferenceChanged1,25,Lifecycle,0,0,1,3832
SharedPreferences1,34,InterComponentCommunication,0,0,1,3974
SourceCodeSpecific1,32,GeneralJava,1,0,1,4840
StartActivityForResult1,86,InterAppCommunication,2,0,6,5206
StartProcessWithSecret1,19,GeneralJava,1,0,1,4084
StaticInitialization1,22,GeneralJava,0,0,1,5073
StaticInitialization2,24,GeneralJava,1,0,1,4829
StaticInitialization3,24,GeneralJava,0,0,1,4096
StringFormatter1,20,GeneralJava,0,0,1,3972
StringPatternMatching1,22,GeneralJava,1,0,1,3833
StringToCharArray1,20,GeneralJava,1,0,1,3767
StringToOutputStream1,20,GeneralJava,1,0,1,4163
UnreachableCode,18,GeneralJava,0,0,0,4398
Unregister1,34,Callbacks,0,1,0,4961
UnresolvableIntent1,58,InterComponentCommunication,0,0,2,5549
VirtualDispatch1,51,GeneralJava,1,1,1,4974
VirtualDispatch2,42,GeneralJava,1,0,1,3671
VirtualDispatch3,77,GeneralJava,0,1,0,6345
VirtualDispatch4,77,GeneralJava,0,0,0,5912
